"activity","subjectid","signaldomain","accelerationtype","method","measure","dimension","isjerk","ismagnitude","avg"
"standing","1","t","body","gyro","std","y",FALSE,FALSE,-0.98773444
"standing","1","t","body","gyro","std","y",TRUE,FALSE,-0.995137917358491
"standing","1","t","body","gyro","std","z",FALSE,FALSE,-0.980645626981132
"standing","1","t","body","gyro","std","z",TRUE,FALSE,-0.992108467169811
"standing","1","t","body","gyro","std","NA",FALSE,TRUE,-0.978690028679245
"standing","1","t","body","gyro","std","NA",TRUE,TRUE,-0.994733238679245
"standing","1","t","gravity","acc","mean","x",FALSE,FALSE,0.942952000377358
"standing","1","t","gravity","acc","mean","y",FALSE,FALSE,-0.272983832264151
"standing","1","t","gravity","acc","mean","z",FALSE,FALSE,0.0134905823226415
"standing","1","t","gravity","acc","mean","NA",FALSE,TRUE,-0.984278207358491
"standing","1","t","gravity","acc","std","x",FALSE,FALSE,-0.99376298509434
"standing","1","t","gravity","acc","std","y",FALSE,FALSE,-0.981225957924528
"standing","1","t","gravity","acc","std","z",FALSE,FALSE,-0.976324063584906
"standing","1","t","gravity","acc","std","NA",FALSE,TRUE,-0.981942928867925
"standing","10","f","body","acc","mean","x",FALSE,FALSE,-0.970099814318182
"standing","10","f","body","acc","mean","x",TRUE,FALSE,-0.963565166136364
"standing","10","f","body","acc","mean","y",FALSE,FALSE,-0.923378745227273
"standing","10","f","body","acc","mean","y",TRUE,FALSE,-0.942187760454545
"standing","10","f","body","acc","mean","z",FALSE,FALSE,-0.955272383863636
"standing","10","f","body","acc","mean","z",TRUE,FALSE,-0.972241512272727
"standing","10","f","body","acc","mean","NA",FALSE,TRUE,-0.9401101675
"standing","10","f","body","acc","mean","NA",TRUE,TRUE,-0.951633690454545
"standing","10","f","body","acc","std","x",FALSE,FALSE,-0.982949246136364
"standing","10","f","body","acc","std","x",TRUE,FALSE,-0.968612135909091
"standing","10","f","body","acc","std","y",FALSE,FALSE,-0.921860476590909
"standing","10","f","body","acc","std","y",TRUE,FALSE,-0.944847393636364
"standing","10","f","body","acc","std","z",FALSE,FALSE,-0.938098683181818
"standing","10","f","body","acc","std","z",TRUE,FALSE,-0.979428729090909
"standing","10","f","body","acc","std","NA",FALSE,TRUE,-0.945048242954545
"standing","10","f","body","acc","std","NA",TRUE,TRUE,-0.952105964545455
"standing","10","f","body","gyro","mean","x",FALSE,FALSE,-0.924005912954545
"standing","10","f","body","gyro","mean","y",FALSE,FALSE,-0.960323800909091
"standing","10","f","body","gyro","mean","z",FALSE,FALSE,-0.950915730909091
"standing","10","f","body","gyro","mean","NA",FALSE,TRUE,-0.937786743409091
"standing","10","f","body","gyro","mean","NA",TRUE,TRUE,-0.965614081363636
"standing","10","f","body","gyro","std","x",FALSE,FALSE,-0.932273942727273
"standing","10","f","body","gyro","std","y",FALSE,FALSE,-0.958399857954545
"standing","10","f","body","gyro","std","z",FALSE,FALSE,-0.958901257272727
"standing","10","f","body","gyro","std","NA",FALSE,TRUE,-0.922961550454545
"standing","10","f","body","gyro","std","NA",TRUE,TRUE,-0.965055815454545
"standing","10","t","body","acc","mean","x",FALSE,FALSE,0.276650300681818
"standing","10","t","body","acc","mean","x",TRUE,FALSE,0.0809784390227273
"standing","10","t","body","acc","mean","y",FALSE,FALSE,-0.0155418603409091
"standing","10","t","body","acc","mean","y",TRUE,FALSE,0.0119007630575
"standing","10","t","body","acc","mean","z",FALSE,FALSE,-0.107964083931818
"standing","10","t","body","acc","mean","z",TRUE,FALSE,-0.00485841031477273
"standing","10","t","body","acc","mean","NA",FALSE,TRUE,-0.951988907954545
"standing","10","t","body","acc","mean","NA",TRUE,TRUE,-0.965163818409091
"standing","10","t","body","acc","std","x",FALSE,FALSE,-0.978403481818182
"standing","10","t","body","acc","std","x",TRUE,FALSE,-0.964311490454545
"standing","10","t","body","acc","std","y",FALSE,FALSE,-0.919561843409091
"standing","10","t","body","acc","std","y",TRUE,FALSE,-0.941328663409091
"standing","10","t","body","acc","std","z",FALSE,FALSE,-0.941271440454545
"standing","10","t","body","acc","std","z",TRUE,FALSE,-0.9764306
"standing","10","t","body","acc","std","NA",FALSE,TRUE,-0.937264537954545
"standing","10","t","body","acc","std","NA",TRUE,TRUE,-0.952058214545455
"standing","10","t","body","gyro","mean","x",FALSE,FALSE,-0.0281854325604545
"standing","10","t","body","gyro","mean","x",TRUE,FALSE,-0.104753833181818
"standing","10","t","body","gyro","mean","y",FALSE,FALSE,-0.0876820486363636
"standing","10","t","body","gyro","mean","y",TRUE,FALSE,-0.0371593000727273
"standing","10","t","body","gyro","mean","z",FALSE,FALSE,0.103251560681818
"standing","10","t","body","gyro","mean","z",TRUE,FALSE,-0.0584162547045455
"standing","10","t","body","gyro","mean","NA",FALSE,TRUE,-0.929787259772727
"standing","10","t","body","gyro","mean","NA",TRUE,TRUE,-0.971637661590909
"standing","10","t","body","gyro","std","x",FALSE,FALSE,-0.929895057954545
"standing","10","t","body","gyro","std","x",TRUE,FALSE,-0.950367548409091
"standing","10","t","body","gyro","std","y",FALSE,FALSE,-0.958861164090909
"standing","10","t","body","gyro","std","y",TRUE,FALSE,-0.976445016590909
"standing","10","t","body","gyro","std","z",FALSE,FALSE,-0.953681099545455
"standing","10","t","body","gyro","std","z",TRUE,FALSE,-0.969051030681818
"standing","10","t","body","gyro","std","NA",FALSE,TRUE,-0.920486810227273
"standing","10","t","body","gyro","std","NA",TRUE,TRUE,-0.964409410454545
"standing","10","t","gravity","acc","mean","x",FALSE,FALSE,0.954008785454545
"standing","10","t","gravity","acc","mean","y",FALSE,FALSE,-0.0431597830454545
"standing","10","t","gravity","acc","mean","z",FALSE,FALSE,0.0346980210431818
"standing","10","t","gravity","acc","mean","NA",FALSE,TRUE,-0.951988907954545
"standing","10","t","gravity","acc","std","x",FALSE,FALSE,-0.991259485
"standing","10","t","gravity","acc","std","y",FALSE,FALSE,-0.975410724090909
"standing","10","t","gravity","acc","std","z",FALSE,FALSE,-0.959579657727273
"standing","10","t","gravity","acc","std","NA",FALSE,TRUE,-0.937264537954545
"standing","11","f","body","acc","mean","x",FALSE,FALSE,-0.993808050638298
"standing","11","f","body","acc","mean","x",TRUE,FALSE,-0.992385450851064
"standing","11","f","body","acc","mean","y",FALSE,FALSE,-0.968703072553191
"standing","11","f","body","acc","mean","y",TRUE,FALSE,-0.979287024255319
"standing","11","f","body","acc","mean","z",FALSE,FALSE,-0.987669785531915
"standing","11","f","body","acc","mean","z",TRUE,FALSE,-0.988460788085106
"standing","11","f","body","acc","mean","NA",FALSE,TRUE,-0.982255413617021
"standing","11","f","body","acc","mean","NA",TRUE,TRUE,-0.988636595319149
"standing","11","f","body","acc","std","x",FALSE,FALSE,-0.995573762978723
"standing","11","f","body","acc","std","x",TRUE,FALSE,-0.993414564042553
"standing","11","f","body","acc","std","y",FALSE,FALSE,-0.96350679
"standing","11","f","body","acc","std","y",TRUE,FALSE,-0.981185823617021
"standing","11","f","body","acc","std","z",FALSE,FALSE,-0.985958517446809
"standing","11","f","body","acc","std","z",TRUE,FALSE,-0.990378149574468
"standing","11","f","body","acc","std","NA",FALSE,TRUE,-0.981503969574468
"standing","11","f","body","acc","std","NA",TRUE,TRUE,-0.98802123106383
"standing","11","f","body","gyro","mean","x",FALSE,FALSE,-0.978301717234043
"standing","11","f","body","gyro","mean","y",FALSE,FALSE,-0.994025488297872
"standing","11","f","body","gyro","mean","z",FALSE,FALSE,-0.980762968085106
"standing","11","f","body","gyro","mean","NA",FALSE,TRUE,-0.982576519787234
"standing","11","f","body","gyro","mean","NA",TRUE,TRUE,-0.992981019787234
"standing","11","f","body","gyro","std","x",FALSE,FALSE,-0.981009115744681
"standing","11","f","body","gyro","std","y",FALSE,FALSE,-0.994353086595745
"standing","11","f","body","gyro","std","z",FALSE,FALSE,-0.98230878106383
"standing","11","f","body","gyro","std","NA",FALSE,TRUE,-0.977437710851064
"standing","11","f","body","gyro","std","NA",TRUE,TRUE,-0.992277468510638
"standing","11","t","body","acc","mean","x",FALSE,FALSE,0.277715562765957
"standing","11","t","body","acc","mean","x",TRUE,FALSE,0.0760097721914894
"standing","11","t","body","acc","mean","y",FALSE,FALSE,-0.0171990886595745
"standing","11","t","body","acc","mean","y",TRUE,FALSE,0.0124130965551064
"standing","11","t","body","acc","mean","z",FALSE,FALSE,-0.108686630425532
"standing","11","t","body","acc","mean","z",TRUE,FALSE,-0.00074591623212766
"standing","11","t","body","acc","mean","NA",FALSE,TRUE,-0.984853836595745
"standing","11","t","body","acc","mean","NA",TRUE,TRUE,-0.989242377234043
"standing","11","t","body","acc","std","x",FALSE,FALSE,-0.994978878723404
"standing","11","t","body","acc","std","x",TRUE,FALSE,-0.992527404255319
"standing","11","t","body","acc","std","y",FALSE,FALSE,-0.964173331702128
"standing","11","t","body","acc","std","y",TRUE,FALSE,-0.979428279574468
"standing","11","t","body","acc","std","z",FALSE,FALSE,-0.986382712765957
"standing","11","t","body","acc","std","z",TRUE,FALSE,-0.990132989574468
"standing","11","t","body","acc","std","NA",FALSE,TRUE,-0.98030536893617
"standing","11","t","body","acc","std","NA",TRUE,TRUE,-0.988853960638298
"standing","11","t","body","gyro","mean","x",FALSE,FALSE,-0.0293141521489362
"standing","11","t","body","gyro","mean","x",TRUE,FALSE,-0.099519355893617
"standing","11","t","body","gyro","mean","y",FALSE,FALSE,-0.0765465041914894
"standing","11","t","body","gyro","mean","y",TRUE,FALSE,-0.0395992140851064
"standing","11","t","body","gyro","mean","z",FALSE,FALSE,0.0810588216170213
"standing","11","t","body","gyro","mean","z",TRUE,FALSE,-0.0524732752340426
"standing","11","t","body","gyro","mean","NA",FALSE,TRUE,-0.979978011489362
"standing","11","t","body","gyro","mean","NA",TRUE,TRUE,-0.993428183617021
"standing","11","t","body","gyro","std","x",FALSE,FALSE,-0.980242494680851
"standing","11","t","body","gyro","std","x",TRUE,FALSE,-0.986690403617021
"standing","11","t","body","gyro","std","y",FALSE,FALSE,-0.994210471914894
"standing","11","t","body","gyro","std","y",TRUE,FALSE,-0.995571631276596
"standing","11","t","body","gyro","std","z",FALSE,FALSE,-0.980636664893617
"standing","11","t","body","gyro","std","z",TRUE,FALSE,-0.990663218510638
"standing","11","t","body","gyro","std","NA",FALSE,TRUE,-0.977071437446808
"standing","11","t","body","gyro","std","NA",TRUE,TRUE,-0.992579166595745
"standing","11","t","gravity","acc","mean","x",FALSE,FALSE,0.956464535957447
"standing","11","t","gravity","acc","mean","y",FALSE,FALSE,-0.173082704680851
"standing","11","t","gravity","acc","mean","z",FALSE,FALSE,0.127198423404255
"standing","11","t","gravity","acc","mean","NA",FALSE,TRUE,-0.984853836595745
"standing","11","t","gravity","acc","std","x",FALSE,FALSE,-0.994529398085106
"standing","11","t","gravity","acc","std","y",FALSE,FALSE,-0.981047828723404
"standing","11","t","gravity","acc","std","z",FALSE,FALSE,-0.989433253617021
"standing","11","t","gravity","acc","std","NA",FALSE,TRUE,-0.98030536893617
"standing","12","f","body","acc","mean","x",FALSE,FALSE,-0.976469472295082
"standing","12","f","body","acc","mean","x",TRUE,FALSE,-0.971971634098361
"standing","12","f","body","acc","mean","y",FALSE,FALSE,-0.932775677704918
"standing","12","f","body","acc","mean","y",TRUE,FALSE,-0.95329178
"standing","12","f","body","acc","mean","z",FALSE,FALSE,-0.947178200163934
"standing","12","f","body","acc","mean","z",TRUE,FALSE,-0.971122527868852
"standing","12","f","body","acc","mean","NA",FALSE,TRUE,-0.945217802786885
"standing","12","f","body","acc","mean","NA",TRUE,TRUE,-0.960859009508197
"standing","12","f","body","acc","std","x",FALSE,FALSE,-0.983647207377049
"standing","12","f","body","acc","std","x",TRUE,FALSE,-0.975581439016393
"standing","12","f","body","acc","std","y",FALSE,FALSE,-0.922852028360656
"standing","12","f","body","acc","std","y",TRUE,FALSE,-0.95666634442623
"standing","12","f","body","acc","std","z",FALSE,FALSE,-0.914189183770492
"standing","12","f","body","acc","std","z",TRUE,FALSE,-0.978792832786885
"standing","12","f","body","acc","std","NA",FALSE,TRUE,-0.939741929016393
"standing","12","f","body","acc","std","NA",TRUE,TRUE,-0.964145595245902
"standing","12","f","body","gyro","mean","x",FALSE,FALSE,-0.890292711147541
"standing","12","f","body","gyro","mean","y",FALSE,FALSE,-0.948251856721312
"standing","12","f","body","gyro","mean","z",FALSE,FALSE,-0.95260195295082
"standing","12","f","body","gyro","mean","NA",FALSE,TRUE,-0.902356765573771
"standing","12","f","body","gyro","mean","NA",TRUE,TRUE,-0.963059791967213
"standing","12","f","body","gyro","std","x",FALSE,FALSE,-0.884385204098361
"standing","12","f","body","gyro","std","y",FALSE,FALSE,-0.938529853770492
"standing","12","f","body","gyro","std","z",FALSE,FALSE,-0.954335764426229
"standing","12","f","body","gyro","std","NA",FALSE,TRUE,-0.850033171967213
"standing","12","f","body","gyro","std","NA",TRUE,TRUE,-0.962909739016393
"standing","12","t","body","acc","mean","x",FALSE,FALSE,0.277405834918033
"standing","12","t","body","acc","mean","x",TRUE,FALSE,0.0744631761967213
"standing","12","t","body","acc","mean","y",FALSE,FALSE,-0.0169002543196721
"standing","12","t","body","acc","mean","y",TRUE,FALSE,0.0100480041062295
"standing","12","t","body","acc","mean","z",FALSE,FALSE,-0.105526999754098
"standing","12","t","body","acc","mean","z",TRUE,FALSE,-0.00788131384131148
"standing","12","t","body","acc","mean","NA",FALSE,TRUE,-0.941459935081967
"standing","12","t","body","acc","mean","NA",TRUE,TRUE,-0.968790683278689
"standing","12","t","body","acc","std","x",FALSE,FALSE,-0.981243992459016
"standing","12","t","body","acc","std","x",TRUE,FALSE,-0.972440195081967
"standing","12","t","body","acc","std","y",FALSE,FALSE,-0.923140254098361
"standing","12","t","body","acc","std","y",TRUE,FALSE,-0.953203115409836
"standing","12","t","body","acc","std","z",FALSE,FALSE,-0.920684800114754
"standing","12","t","body","acc","std","z",TRUE,FALSE,-0.975556976885246
"standing","12","t","body","acc","std","NA",FALSE,TRUE,-0.935232945245902
"standing","12","t","body","acc","std","NA",TRUE,TRUE,-0.962678857213115
"standing","12","t","body","gyro","mean","x",FALSE,FALSE,-0.0300030427426229
"standing","12","t","body","gyro","mean","x",TRUE,FALSE,-0.0976380412377049
"standing","12","t","body","gyro","mean","y",FALSE,FALSE,-0.0700083750360656
"standing","12","t","body","gyro","mean","y",TRUE,FALSE,-0.0409520826508197
"standing","12","t","body","gyro","mean","z",FALSE,FALSE,0.074256819
"standing","12","t","body","gyro","mean","z",TRUE,FALSE,-0.0482863736885246
"standing","12","t","body","gyro","mean","NA",FALSE,TRUE,-0.888101372786885
"standing","12","t","body","gyro","mean","NA",TRUE,TRUE,-0.969289973606557
"standing","12","t","body","gyro","std","x",FALSE,FALSE,-0.883655251803279
"standing","12","t","body","gyro","std","x",TRUE,FALSE,-0.955415641803279
"standing","12","t","body","gyro","std","y",FALSE,FALSE,-0.941469207540984
"standing","12","t","body","gyro","std","y",TRUE,FALSE,-0.971195487377049
"standing","12","t","body","gyro","std","z",FALSE,FALSE,-0.950364757540984
"standing","12","t","body","gyro","std","z",TRUE,FALSE,-0.973689389672131
"standing","12","t","body","gyro","std","NA",FALSE,TRUE,-0.852271618032787
"standing","12","t","body","gyro","std","NA",TRUE,TRUE,-0.961923171967213
"standing","12","t","gravity","acc","mean","x",FALSE,FALSE,0.957317821803279
"standing","12","t","gravity","acc","mean","y",FALSE,FALSE,-0.21886535557377
"standing","12","t","gravity","acc","mean","z",FALSE,FALSE,-0.0395382767304918
"standing","12","t","gravity","acc","mean","NA",FALSE,TRUE,-0.941459935081967
"standing","12","t","gravity","acc","std","x",FALSE,FALSE,-0.985314210491803
"standing","12","t","gravity","acc","std","y",FALSE,FALSE,-0.970482614590164
"standing","12","t","gravity","acc","std","z",FALSE,FALSE,-0.939534099016393
"standing","12","t","gravity","acc","std","NA",FALSE,TRUE,-0.935232945245902
"standing","13","f","body","acc","mean","x",FALSE,FALSE,-0.989425965614035
"standing","13","f","body","acc","mean","x",TRUE,FALSE,-0.988198276666667
"standing","13","f","body","acc","mean","y",FALSE,FALSE,-0.959427618245614
"standing","13","f","body","acc","mean","y",TRUE,FALSE,-0.977752775438597
"standing","13","f","body","acc","mean","z",FALSE,FALSE,-0.97756730122807
"standing","13","f","body","acc","mean","z",TRUE,FALSE,-0.98460855877193
"standing","13","f","body","acc","mean","NA",FALSE,TRUE,-0.972393559473684
"standing","13","f","body","acc","mean","NA",TRUE,TRUE,-0.981977536491228
"standing","13","f","body","acc","std","x",FALSE,FALSE,-0.991817705263158
"standing","13","f","body","acc","std","x",TRUE,FALSE,-0.988185112807018
"standing","13","f","body","acc","std","y",FALSE,FALSE,-0.947179813157895
"standing","13","f","body","acc","std","y",TRUE,FALSE,-0.979412252631579
"standing","13","f","body","acc","std","z",FALSE,FALSE,-0.964048080877193
"standing","13","f","body","acc","std","z",TRUE,FALSE,-0.987871530526316
"standing","13","f","body","acc","std","NA",FALSE,TRUE,-0.970445378947368
"standing","13","f","body","acc","std","NA",TRUE,TRUE,-0.980621262631579
"standing","13","f","body","gyro","mean","x",FALSE,FALSE,-0.957154108421053
"standing","13","f","body","gyro","mean","y",FALSE,FALSE,-0.97291308
"standing","13","f","body","gyro","mean","z",FALSE,FALSE,-0.974394378070175
"standing","13","f","body","gyro","mean","NA",FALSE,TRUE,-0.957488799473684
"standing","13","f","body","gyro","mean","NA",TRUE,TRUE,-0.977197403859649
"standing","13","f","body","gyro","std","x",FALSE,FALSE,-0.955818411578947
"standing","13","f","body","gyro","std","y",FALSE,FALSE,-0.97142515122807
"standing","13","f","body","gyro","std","z",FALSE,FALSE,-0.97553326754386
"standing","13","f","body","gyro","std","NA",FALSE,TRUE,-0.946857485438596
"standing","13","f","body","gyro","std","NA",TRUE,TRUE,-0.976467330175439
"standing","13","t","body","acc","mean","x",FALSE,FALSE,0.277758431052632
"standing","13","t","body","acc","mean","x",TRUE,FALSE,0.0758630962280702
"standing","13","t","body","acc","mean","y",FALSE,FALSE,-0.0167891993964912
"standing","13","t","body","acc","mean","y",TRUE,FALSE,0.00762035230350877
"standing","13","t","body","acc","mean","z",FALSE,FALSE,-0.112124137754386
"standing","13","t","body","acc","mean","z",TRUE,FALSE,-0.000704979340543859
"standing","13","t","body","acc","mean","NA",FALSE,TRUE,-0.971564243157895
"standing","13","t","body","acc","mean","NA",TRUE,TRUE,-0.98680002754386
"standing","13","t","body","acc","std","x",FALSE,FALSE,-0.991020759298246
"standing","13","t","body","acc","std","x",TRUE,FALSE,-0.987636104210526
"standing","13","t","body","acc","std","y",FALSE,FALSE,-0.949422439473684
"standing","13","t","body","acc","std","y",TRUE,FALSE,-0.977704172105263
"standing","13","t","body","acc","std","z",FALSE,FALSE,-0.967538031754386
"standing","13","t","body","acc","std","z",TRUE,FALSE,-0.986926242631579
"standing","13","t","body","acc","std","NA",FALSE,TRUE,-0.968519673859649
"standing","13","t","body","acc","std","NA",TRUE,TRUE,-0.981865616666667
"standing","13","t","body","gyro","mean","x",FALSE,FALSE,-0.0295492164431579
"standing","13","t","body","gyro","mean","x",TRUE,FALSE,-0.0981199986666667
"standing","13","t","body","gyro","mean","y",FALSE,FALSE,-0.0753205243684211
"standing","13","t","body","gyro","mean","y",TRUE,FALSE,-0.0412872577807018
"standing","13","t","body","gyro","mean","z",FALSE,FALSE,0.085471246877193
"standing","13","t","body","gyro","mean","z",TRUE,FALSE,-0.053926078122807
"standing","13","t","body","gyro","mean","NA",FALSE,TRUE,-0.95782537245614
"standing","13","t","body","gyro","mean","NA",TRUE,TRUE,-0.983637634912281
"standing","13","t","body","gyro","std","x",FALSE,FALSE,-0.955577395789474
"standing","13","t","body","gyro","std","x",TRUE,FALSE,-0.978465124561404
"standing","13","t","body","gyro","std","y",FALSE,FALSE,-0.971721755964912
"standing","13","t","body","gyro","std","y",TRUE,FALSE,-0.980982661403509
"standing","13","t","body","gyro","std","z",FALSE,FALSE,-0.973436596140351
"standing","13","t","body","gyro","std","z",TRUE,FALSE,-0.985177042982456
"standing","13","t","body","gyro","std","NA",FALSE,TRUE,-0.944980198421053
"standing","13","t","body","gyro","std","NA",TRUE,TRUE,-0.976197659649123
"standing","13","t","gravity","acc","mean","x",FALSE,FALSE,0.942695296842105
"standing","13","t","gravity","acc","mean","y",FALSE,FALSE,-0.239943146315789
"standing","13","t","gravity","acc","mean","z",FALSE,FALSE,-0.0524856614035088
"standing","13","t","gravity","acc","mean","NA",FALSE,TRUE,-0.971564243157895
"standing","13","t","gravity","acc","std","x",FALSE,FALSE,-0.992232401754386
"standing","13","t","gravity","acc","std","y",FALSE,FALSE,-0.974681225789474
"standing","13","t","gravity","acc","std","z",FALSE,FALSE,-0.976827157368421
"standing","13","t","gravity","acc","std","NA",FALSE,TRUE,-0.968519673859649
"standing","14","f","body","acc","mean","x",FALSE,FALSE,-0.9726995625
"standing","14","f","body","acc","mean","x",TRUE,FALSE,-0.97818164
"standing","14","f","body","acc","mean","y",FALSE,FALSE,-0.942178248333333
"standing","14","f","body","acc","mean","y",TRUE,FALSE,-0.967249904833333
"standing","14","f","body","acc","mean","z",FALSE,FALSE,-0.9424220265
"standing","14","f","body","acc","mean","z",TRUE,FALSE,-0.966718434333333
"standing","14","f","body","acc","mean","NA",FALSE,TRUE,-0.949715059833333
"standing","14","f","body","acc","mean","NA",TRUE,TRUE,-0.970214125833333
"standing","14","f","body","acc","std","x",FALSE,FALSE,-0.973605553666667
"standing","14","f","body","acc","std","x",TRUE,FALSE,-0.980396601666667
"standing","14","f","body","acc","std","y",FALSE,FALSE,-0.926055903
"standing","14","f","body","acc","std","y",TRUE,FALSE,-0.967830182166667
"standing","14","f","body","acc","std","z",FALSE,FALSE,-0.917781858666667
"standing","14","f","body","acc","std","z",TRUE,FALSE,-0.973594305166667
"standing","14","f","body","acc","std","NA",FALSE,TRUE,-0.939799869833333
"standing","14","f","body","acc","std","NA",TRUE,TRUE,-0.969677515666667
"standing","14","f","body","gyro","mean","x",FALSE,FALSE,-0.957111767
"standing","14","f","body","gyro","mean","y",FALSE,FALSE,-0.9508361945
"standing","14","f","body","gyro","mean","z",FALSE,FALSE,-0.950999877833333
"standing","14","f","body","gyro","mean","NA",FALSE,TRUE,-0.944405563833333
"standing","14","f","body","gyro","mean","NA",TRUE,TRUE,-0.969175636833333
"standing","14","f","body","gyro","std","x",FALSE,FALSE,-0.962741032833333
"standing","14","f","body","gyro","std","y",FALSE,FALSE,-0.944306864
"standing","14","f","body","gyro","std","z",FALSE,FALSE,-0.950162705166667
"standing","14","f","body","gyro","std","NA",FALSE,TRUE,-0.934815560833333
"standing","14","f","body","gyro","std","NA",TRUE,TRUE,-0.966019259166667
"standing","14","t","body","acc","mean","x",FALSE,FALSE,0.280545613833333
"standing","14","t","body","acc","mean","x",TRUE,FALSE,0.0737933748485
"standing","14","t","body","acc","mean","y",FALSE,FALSE,-0.01520781344
"standing","14","t","body","acc","mean","y",TRUE,FALSE,0.00579566182983333
"standing","14","t","body","acc","mean","z",FALSE,FALSE,-0.103817701790667
"standing","14","t","body","acc","mean","z",TRUE,FALSE,-0.00720777760485
"standing","14","t","body","acc","mean","NA",FALSE,TRUE,-0.943456847333333
"standing","14","t","body","acc","mean","NA",TRUE,TRUE,-0.972965788166667
"standing","14","t","body","acc","std","x",FALSE,FALSE,-0.973268905
"standing","14","t","body","acc","std","x",TRUE,FALSE,-0.978248526
"standing","14","t","body","acc","std","y",FALSE,FALSE,-0.928525725333333
"standing","14","t","body","acc","std","y",TRUE,FALSE,-0.966362425833333
"standing","14","t","body","acc","std","z",FALSE,FALSE,-0.9222763115
"standing","14","t","body","acc","std","z",TRUE,FALSE,-0.970766734
"standing","14","t","body","acc","std","NA",FALSE,TRUE,-0.936735577166667
"standing","14","t","body","acc","std","NA",TRUE,TRUE,-0.970437182833333
